recorded,RADON_SHORT_TERM_AVG Bq/m3,PM2_5 μg/m3,CO2 ppm,HUMIDITY %,TEMP °C,VOC ppb,PRESSURE hPa,PM1 μg/m3
2024-10-11T17:36:26,,,707,47.59,20.53,,,
2024-10-11T17:36:28,,,,,,46,1000.74,
2024-10-11T17:41:31,,,731,48.03,20.35,,,
2024-10-11T17:41:33,,1,,,,46,1000.82,1
2024-10-11T17:46:27,,,745,48.16,20.54,,,
2024-10-11T17:46:29,,,,,,46,1000.88,
2024-10-11T17:51:31,151,,,,,,,
2024-10-11T17:51:33,,,757,48.29,20.41,,,
2024-10-11T17:51:35,,3,,,,46,1000.8,3
2024-10-11T17:56:27,,,726,48.32,20.35,,,
2024-10-11T17:56:29,,,,,,46,1000.82,
2024-10-11T18:01:32,,,708,48.37,20.35,,,
2024-10-11T18:01:34,,1,,,,46,1000.8,1
2024-10-11T18:06:26,,,744,48.33,20.34,,,
2024-10-11T18:06:28,,,,,,54,1000.8,
2024-10-11T18:11:30,151,,,,,,,
2024-10-11T18:11:32,,,763,48.27,20.35,,,
2024-10-11T18:11:34,,1,,,,46,1000.88,1
2024-10-11T18:16:28,,,761,48.35,20.41,,,
2024-10-11T18:16:30,,,,,,56,1000.88,
2024-10-11T18:21:32,,,770,48.39,20.44,,,
2024-10-11T18:21:34,,2,,,,46,1000.96,2
2024-10-11T18:26:26,,,791,48.29,20.35,,,
2024-10-11T18:26:28,,,,,,54,1001.02,
2024-10-11T18:31:31,146,,,,,,,
2024-10-11T18:31:33,,,791,48.3,20.37,,,
2024-10-11T18:31:35,,2,,,,52,1001.02,2
2024-10-11T18:36:27,,,751,48.43,20.47,,,
2024-10-11T18:36:29,,,,,,46,1001.06,
2024-10-11T18:41:30,,,739,48.35,20.41,,,
2024-10-11T18:41:32,,3,,,,46,1001.04,3
2024-10-11T18:46:26,,,757,48.4,20.41,,,
2024-10-11T18:46:28,,,,,,46,1001.06,
2024-10-11T18:51:31,146,,,,,,,
2024-10-11T18:51:33,,,778,48.41,20.44,,,
2024-10-11T18:51:35,,1,,,,54,1001.12,1
2024-10-11T18:56:26,,,784,48.53,20.48,,,
2024-10-11T18:56:28,,,,,,50,1001.22,
2024-10-11T19:01:30,,,786,48.26,20.57,,,
2024-10-11T19:01:32,,2,,,,50,1001.3,2
2024-10-11T19:06:27,,,757,48.23,20.6,,,
2024-10-11T19:06:29,,,,,,46,1001.3,
2024-10-11T19:11:31,146,,,,,,,
2024-10-11T19:11:33,,,711,48.27,20.47,,,
2024-10-11T19:11:35,,1,,,,56,1001.4,1
2024-10-11T19:16:26,,,748,48.36,20.6,,,
2024-10-11T19:16:28,,,,,,50,1001.5,
2024-10-11T19:21:31,,,787,48.43,20.73,,,
2024-10-11T19:21:33,,1,,,,46,1001.64,1
2024-10-11T19:26:26,,,760,48.23,20.73,,,
2024-10-11T19:26:28,,,,,,46,1001.66,
2024-10-11T19:31:30,146,,,,,,,
2024-10-11T19:31:32,,,757,48.32,20.73,,,
2024-10-11T19:31:34,,2,,,,48,1001.66,2
2024-10-11T19:36:27,,,749,48.4,20.73,,,
2024-10-11T19:36:29,,,,,,46,1002.08,
2024-10-11T19:41:31,,,801,48.44,20.85,,,
2024-10-11T19:41:33,,1,,,,48,1002.22,1
2024-10-11T19:46:26,,,828,48.22,20.69,,,
2024-10-11T19:46:28,,,,,,61,1002.28,
2024-10-11T19:51:31,146,,,,,,,
2024-10-11T19:51:33,,,786,48.29,20.85,,,
2024-10-11T19:51:35,,1,,,,56,1002.42,1
2024-10-11T19:56:27,,,802,48.22,20.97,,,
2024-10-11T19:56:29,,,,,,59,1002.54,
2024-10-11T20:01:30,,,793,48.28,20.85,,,
2024-10-11T20:01:32,,3,,,,61,1002.52,3
2024-10-11T20:06:27,,,792,48.32,20.95,,,
2024-10-11T20:06:29,,,,,,61,1002.68,
2024-10-11T20:11:31,146,,,,,,,
2024-10-11T20:11:33,,,839,48.17,20.85,,,
2024-10-11T20:11:35,,3,,,,71,1002.74,3
2024-10-11T20:16:27,,,830,48.17,20.97,,,
2024-10-11T20:16:29,,,,,,67,1002.96,
2024-10-11T20:21:31,,,810,48.22,20.97,,,
